Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Burma Burma,"Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages",1500," Indiranagar, Bangalore",4.9,12.97039445,77.6447133
Windmills Craftworks,"Continental, Fast Food, Kebab, Beverages, Italian, Desserts",2500," Windmills Craftworks, Bangalore",4.9,12.98241296,77.72197936
CTR Shri Sagar,South Indian,150," Malleshwaram, Bangalore",4.9,12.99827011,77.56945521
Brahmin's Coffee Bar,South Indian,100," Basavanagudi, Bangalore",4.9,12.95404312,77.56886512
Milano Ice Cream,"Desserts, Ice Cream, Beverages",400," Indiranagar, Bangalore",4.9,12.97912104,77.64403872
BelgYum,Desserts,400," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.9,12.99763172,77.6968206
Lot Like Crepes,"Desserts, Fast Food, Beverages",500," Koramangala 7th Block, Bangalore",4.9,12.93658526,77.61346791
Truffles,"Cafe, American, Coffee, Steak, Beverages, Fast Food",900," Koramangala 5th Block, Bangalore",4.8,12.93343554,77.61434499
Bologna,"Italian, Desserts",1600," Indiranagar, Bangalore",4.8,12.97182157,77.64110304
Pasta Street,"Italian, European, Pizza, Pasta, Salad, Desserts, Beverages",1500," Koramangala 4th Block, Bangalore",4.8,12.93296695,77.63111752
Chianti,"Italian, Pasta, Pizza",2000," Indiranagar, Bangalore",4.8,12.97021802,77.64030542
Santé Spa Cuisine,"Mediterranean, Italian, European, Desserts, Beverages",1500," Domlur, Bangalore",4.8,12.96396971,77.63859853
Arogya Ahaara,South Indian,100," HSR, Bangalore",4.8,12.91804385,77.63768893
Brik Oven,"Cafe, Italian, Fast Food, Desserts",1000," Church Street, Bangalore",4.8,12.97472511,77.60541189
Corner House Ice Creams,"Desserts, Ice Cream, Beverages",300," Indiranagar, Bangalore",4.8,12.9702177,77.6376145
Natural Ice Cream,"Ice Cream, Beverages, Desserts",300," Indiranagar, Bangalore",4.8,12.9703033,77.64449771
Biergarten,"Continental, European, BBQ, Chinese, Asian",2000," Koramangala 5th Block, Bangalore",4.7,12.93347017,77.61418238
Byg Brewski Brewing Company,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",1600," Sarjapur Road, Bangalore",4.7,12.91293443,77.68290594
Street Storyss,"Fast Food, North Indian, Italian, Desserts, Beverages",1700," Indiranagar, Bangalore",4.7,12.9703266,77.6357265
Hard Rock Cafe,"American, Continental, Fast Food, Beverages",2800," St. Marks Road, Bangalore",4.7,12.97606334,77.60155186
Arbor Brewing Company,"American, Continental, Fast Food, Beverages",2000," Brigade Road, Bangalore",4.7,12.9704219,77.61105794
AB's - Absolute Barbecues,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",1200," BTM, Bangalore",4.7,12.9163576,77.60477956
Mavalli Tiffin Room (MTR),"South Indian, Beverages",250," Basavanagudi, Bangalore",4.7,12.95490768,77.58568022
The Fatty Bao,"Asian, Japanese, Sushi, Chinese, Thai, Momos, Beverages",1200," Indiranagar, Bangalore",4.7,12.97033695,77.64527254
Smoke House Deli,"Italian, European, American, Beverages, Continental",2000," Lavelle Road, Bangalore",4.7,12.9716667,77.59839457
Mainland China,"Chinese, Asian, Seafood",1800," Whitefield, Bangalore",4.7,12.95567127,77.72527816
Toast & Tonic,"European, Asian, Bar Food, Beverages, Desserts",2000," Richmond Road, Bangalore",4.7,12.96657733,77.60869961
SMOOR,"Italian, Thai, Pizza, Fast Food, Desserts, Beverages",900," Indiranagar, Bangalore",4.7,12.96993083,77.64142055
Yauatcha,"Chinese, Asian",2000," 1 MG Road Mall, MG Road, Bangalore",4.7,12.97351365,77.62020294
Here & Now,"Cafe, American, Burger, Sandwich, Desserts, Beverages",900," HSR, Bangalore",4.7,12.91356874,77.63820257
Once Upon A Flame,"Steak, Continental, Fast Food, BBQ, Beverages",1400," HSR, Bangalore",4.7,12.91189129,77.6380631
Taaza Thindi,South Indian,100," Banashankari, Bangalore",4.7,12.92623505,77.54873414
Belgian Waffle Factory,Desserts,300," Brigade Road, Bangalore",4.7,12.96977891,77.60707453
Chinita Real Mexican Food,"Mexican, Salad, Desserts, Beverages",1200," Indiranagar, Bangalore",4.7,12.98098133,77.63725977
Brahma Brews,"Bar Food, Asian, Italian, North Indian, Fast Food, European, South Indian",1900," JP Nagar, Bangalore",4.6,12.89323791,77.58632932
Stories Brewery & Kitchen,"North Indian, Continental, Chinese, Bar Food, Beverages",2000," BTM, Bangalore",4.6,12.90573138,77.60841161
Communiti,"Continental, BBQ, Desserts, Italian, Sandwich, Fast Food",1500," Brigade Road, Bangalore",4.6,12.97263281,77.6082956
ShakesBierre,"Finger Food, North Indian, Asian, Italian, Desserts, Beverages",1500," Eva Mall, Brigade Road, Bangalore",4.6,12.97087767,77.60744736
TBC Sky Lounge,"Continental, Asian, Italian, North Indian",1600," HSR, Bangalore",4.6,12.92267737,77.65144195
The Hole In The Wall Cafe,"Cafe, American, Burger, Beverages, Desserts",600," Koramangala 4th Block, Bangalore",4.6,12.93464785,77.62554456
The Permit Room,"South Indian, Modern Indian, Beverages",1500," Richmond Road, Bangalore",4.6,12.9705374,77.61045441
Oyster Bar & Kitchen,"North Indian, Chinese, Italian, Fast Food, Beverages, Desserts",1200," HSR, Bangalore",4.6,12.91192952,77.63801917
JW Kitchen - JW Marriott Bengaluru,"North Indian, Continental, Italian, South Indian, Mediterranean, European, Asian",2200," JW Marriott Bengaluru, Lavelle Road, Bangalore",4.6,12.97187907,77.59511355
MISU,"Asian, Japanese, Thai, Burmese, Korean, Indonesian, Vietnamese, Singaporean",1700," St. Marks Road, Bangalore",4.6,12.97065518,77.60065634
Bombay Brasserie,"Modern Indian, Street Food, Biryani, Desserts, Beverages",1800," Indiranagar, Bangalore",4.6,12.97040393,77.64586598
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",2400," Richmond Road, Bangalore",4.6,12.96697006,77.60783695
Barbeque Nation,"North Indian, Mughlai, Desserts, Beverages, Biryani, BBQ",1600," JP Nagar, Bangalore",4.6,12.90635951,77.59681508
The Pizza Bakery - Brew & Eatery,"Pizza, Italian, Desserts, Beverages",1000," Indiranagar, Bangalore",4.6,12.97033009,77.64467239
Hae Kum Gang,"Korean, Beverages",1100," Brigade Road, Bangalore",4.6,12.96796788,77.60736287
Phobidden Fruit,"Vietnamese, Desserts, Thai",1100," Indiranagar, Bangalore",4.5,12.97006806,77.63965968
Lavonne,"Cafe, Continental, Beverages",800," Indiranagar, Bangalore",4.6,12.96697626,77.63693791
Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad",800," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.6,12.997432,77.69654
Millers 46,"American, Continental, Steak",1100," Vasanth Nagar, Bangalore",4.6,12.99150568,77.59425055
Brew and Barbeque - A Microbrewery Pub,"Continental, North Indian, BBQ, Steak",2000," Soul Space Arena Mall, Marathahalli, Bangalore",4.6,12.97992377,77.69411355
Roots,"North Indian, South Indian, Chinese, Continental, Mangalorean",1300," Koramangala 1st Block, Bangalore",4.6,12.9293182,77.6346292
Third Wave Coffee Roasters,"Cafe, Continental, Beverages",1000," Koramangala 4th Block, Bangalore",4.6,12.93484587,77.62964129
Nasi And Mee,"Asian, Indonesian, Japanese, Sushi, Thai",800," Koramangala 4th Block, Bangalore",4.6,12.93495371,77.62904651
The Terrace at Gilly's Redefined,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages",1700," Gilly's Redefined, Koramangala 4th Block, Bangalore",4.6,12.93344436,77.62366802
Art of Delight,"Ice Cream, Desserts, Beverages",300," Residency Road, Bangalore",4.6,12.97329573,77.60922331
Oota Bangalore,"Mangalorean, South Indian",1000," Windmills Craftworks, Bangalore",4.6,12.98237081,77.72192437
Hari Super Sandwich,"Fast Food, Sandwich",250," Jayanagar, Bangalore",4.6,12.9330506,77.58236803
The Bier Library,"Continental, North Indian, Pizza, BBQ",2000," Koramangala 6th Block, Bangalore",4.5,12.939076,77.626065
Toit,"Italian, American, Modern Indian",2000," Indiranagar, Bangalore",4.5,12.9788881,77.640922
1131 Bar + Kitchen,"Continental, Mughlai, North Indian, Beverages, Chinese, Thai, Desserts",1500," Indiranagar, Bangalore",4.5,12.96988085,77.64128376
The Pump House,"Continental, Finger Food, North Indian, Italian, Asian, Desserts",1600," JP Nagar, Bangalore",4.5,12.90637388,77.58206293
Red Rhino,"Pizza, Burger, Biryani, Chinese, Desserts, Healthy Food, North Indian, Pasta",1800," Whitefield, Bangalore",4.5,13.0247031,77.7614997
Nagarjuna,"Andhra, Biryani",800," Residency Road, Bangalore",4.5,12.97317843,77.60922901
The Reservoire,"Continental, North Indian, American, Asian, Chinese, Pizza, Desserts, Beverages",1400," Koramangala 5th Block, Bangalore",4.5,12.93338717,77.62224443
Vidyarthi Bhavan,South Indian,150," Basavanagudi, Bangalore",4.5,12.9450049,77.57145714
House Of Commons,"Bar Food, North Indian, Continental, Italian, Chinese",1400," JP Nagar, Bangalore",4.5,12.91438475,77.58587368
Koramangala Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1500," Koramangala 7th Block, Bangalore",4.5,12.935475,77.614142
Hammered,"North Indian, Chinese, Fast Food, Desserts, Beverages",1400," New BEL Road, Bangalore",4.5,13.02737411,77.57731508
46 Ounces Brewgarden,"Chinese, North Indian, Italian, Beverages, Bengali, Desserts",1600," Electronic City, Bangalore",4.5,12.84977027,77.65783768
Levitate Brewery And Kitchen,"Finger Food, North Indian, Continental",2300," JP Nagar, Bangalore",4.5,12.90755234,77.59935513
The Big Barbeque,"North Indian, Continental, Chinese, Pizza, Beverages, Desserts",1500," Marathahalli, Bangalore",4.5,12.94831687,77.69886877
Dyu Art Cafe,"Cafe, Continental, Beverages",600," Koramangala 8th Block, Bangalore",4.5,12.93708161,77.61755928
Tipsy Bull - The Bar Exchange,"Finger Food, North Indian, Continental, Fast Food, Naga",1200," JP Nagar, Bangalore",4.5,12.90637585,77.57786125
Vapour Brewpub and Diner,"North Indian, Continental, Italian",1400," Sarjapur Road, Bangalore",4.5,12.91417919,77.67762903
Brewklyn Microbrewery,"Continental, Italian, North Indian",1800," Kalyan Nagar, Bangalore",4.5,13.0215447,77.64050692
Basil Bistro,"Continental, Italian, North Indian, Chinese",1000," HSR, Bangalore",4.5,12.9155733,77.64901623
The Bangalore Cafe,"Modern Indian, North Indian, Pizza, Continental, Beverages, Desserts",800," Shanti Nagar, Bangalore",4.5,12.96170807,77.59464987
Shiro,"Japanese, Asian, Thai",3000," UB City, Bangalore",4.5,12.97177616,77.59648249
Just BLR,"Continental, North Indian, Italian, Beverages",1900," Brigade Road, Bangalore",4.5,12.96960182,77.60755699
Sattvam,"North Indian, South Indian",1500," Sadashiv Nagar, Bangalore",4.5,13.00574325,77.58071411
Karavalli - The Gateway Hotel,"Mangalorean, Konkan, Seafood, Kerala",3500," The Gateway Hotel, Residency Road, Bangalore",4.5,12.97193984,77.60895208
Masala Mandi,"North Indian, Mughlai, Seafood, Desserts",1200," Sarjapur Road, Bangalore",4.5,12.91049683,77.68550701
Rim Naam - The Oberoi,Thai,4000," The Oberoi, MG Road, Bangalore",4.5,12.97277559,77.61864122
Sly Granny - The Community House,"Continental, European, American, Italian, Burger, Coffee, Desserts, Modern Indian",2500," Indiranagar, Bangalore",4.5,12.97045196,77.64647517
China Bistro,"Chinese, Asian, Oriental, Sushi, Thai, Japanese, Seafood, Desserts",1600," Indiranagar, Bangalore",4.5,12.97038661,77.64484104
Ssaffron - Shangri-La Hotel,"North Indian, Seafood, Asian, Bar Food",3000," Shangri-La Hotel, Vasanth Nagar , Bangalore",4.5,12.99208654,77.5885703
Salt - Indian Restaurant Bar & Grill,"North Indian, South Indian, Biryani, Mughlai, Fast Food, Desserts, Beverages",1500," Forum Mall, Koramangala, Bangalore",4.5,12.93472007,77.6114586
SodaBottleOpenerWala,"Parsi, North Indian, Rolls, Street Food, Desserts, Beverages",1500," Lavelle Road, Bangalore",4.5,12.97064799,77.59764623
Mamagoto,"Asian, Chinese, Sushi, Thai",1700," Indiranagar, Bangalore",4.5,12.97027193,77.63910782
Al Amanah Cafe,"Middle Eastern, Fast Food, Rolls, Wraps",300," Kammanahalli, Bangalore",4.5,13.01553156,77.63937671
Buff Buffet Buff,"North Indian, Chinese, Thai, South Indian, Continental, Beverages",1500," BluPetal Hotel, Koramangala, Bangalore",4.5,12.93347279,77.61531763
Punjab Grill,"North Indian, Mughlai, Kebab, Biryani, Desserts",2000," Orion Mall, Malleshwaram, Bangalore",4.5,13.01133522,77.55459845
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages",750," Marathahalli, Bangalore",4.5,12.9506992,77.69989941
Toscano,"Italian, Continental, Healthy Food, European, Pizza, Salad, Desserts, Beverages",2400," UB City, Bangalore",4.5,12.97175492,77.59585317
Barbecue by Punjab Grill,"North Indian, BBQ, Beverages, Desserts",1200," Mantri Square, Malleshwaram, Bangalore",4.5,12.99140015,77.57052138
Bloomsbury's Global Kitchen & Bakehouse,"Cafe, Salad, Italian, American, Bakery",900," Whitefield, Bangalore",4.5,12.97654622,77.72548534
Alba - JW Marriott Bengaluru,"European, Pizza, Desserts",4000," JW Marriott Bengaluru, Lavelle Road, Bangalore",4.5,12.97187907,77.59512763
Matteo Coffea,"Cafe, Beverages, Sandwich, Pasta, Burger, Fast Food, American, Desserts",600," Church Street, Bangalore",4.5,12.97436899,77.6070068
Hotel Tom's Restaurant,"Mangalorean, Mughlai, Chinese, North Indian",1000," Brigade Road, Bangalore",4.5,12.96692464,77.60648813
The Asian Curry House,"Vietnamese, Thai, Burmese, Japanese",1200," Mantri Square, Malleshwaram, Bangalore",4.5,12.99166902,77.57057972
China Pearl,Chinese,1100," Koramangala 6th Block, Bangalore",4.5,12.93612059,77.62140188
Chulha Chauki Da Dhaba,"North Indian, Biryani, Chinese, Beverages",1000," Marathahalli, Bangalore",4.5,12.98185429,77.69270372
Connie's Restaurant & Steakhouse,"Steak, Continental, Italian, Chinese, Fast Food, Desserts, Beverages",1500," Kammanahalli, Bangalore",4.5,13.01480931,77.63301518
Big Pitcher,"American, Continental, North Indian, Mediterranean, Beverages",1600," Old Airport Road, Bangalore",4.5,12.96016948,77.64709309
Maravanthe,"Seafood, Mangalorean",1100," Indiranagar, Bangalore",4.5,12.97828956,77.63733722
Jalsa Gold,"North Indian, Mughlai, Italian, Beverages",1300," Kadubeesanahalli, Bangalore",4.5,12.93792401,77.69539163
Myu Bar At Gilly's Redefined,"North Indian, Finger Food, Continental, Beverages",1600," Gilly's Redefined, Koramangala 4th Block, Bangalore",4.5,12.93348455,77.62338437
Manjit Da Dhaba,North Indian,300," Frazer Town, Bangalore",4.5,12.99789802,77.62228031
Saffron - Radisson Blu,"North Indian, Mughlai, Lucknowi, Fast Food, Beverages",2500," Radisson Blu, Marathahalli, Bangalore",4.5,12.94987972,77.69929022
Peppa Zzing,"Fast Food, Burger, Beverages",600," Brigade Road, Bangalore",4.5,12.96962665,77.60649417
Sree Krishna Kafe,South Indian,200," Koramangala 5th Block, Bangalore",4.5,12.9371437,77.6196209
Chili's American Grill & Bar,"American, Tex-Mex, Burger, BBQ, Beverages",2000," RMZ Ecoworld, Bellandur, Bangalore",4.5,12.92042941,77.68433522
Republic Of Noodles - Lemon Tree Premier,"Malaysian, Singaporean, Thai",1800," Lemon Tree Premier, Ulsoor, Bangalore",4.5,12.98744777,77.61663426
Shivaji Military Hotel,"South Indian, Biryani",450," Jayanagar, Bangalore",4.4,12.91816182,77.57409576
The 13th Floor,"North Indian, Asian, Thai",2000," Barton Centre, Bangalore",4.4,12.97532366,77.60504678
Hakuna Matata,"North Indian, Asian, Seafood, Chinese",1400," JP Nagar, Bangalore",4.4,12.89404026,77.58630652
The Druid Garden,"Asian, Continental, Italian, North Indian, Beverages",1700," Sahakara Nagar, Bangalore",4.4,13.06349503,77.59116936
Secret Of Bangalore,"North Indian, South Indian, Continental, Asian, Desserts, Beverages",1300," Rajarajeshwari Nagar, Bangalore",4.4,12.90938211,77.52730262
Aurum Brew Works,"North Indian, American, Continental, Desserts, Beverages, Asian, Pizza, Burger",1500," Sarjapur Road, Bangalore",4.4,12.910836,77.685732
Stories Bar & Kitchen,"Bar Food, Chinese, Fast Food, North Indian, Italian, Beverages, BBQ",1500," Rajajinagar, Bangalore",4.4,13.00852357,77.54921123
XOOX Brewmill,"North Indian, Continental, Chinese, Mangalorean, Italian, Beverages",2000," Koramangala 5th Block, Bangalore",4.4,12.93564417,77.6149904
Skyye,"Continental, Asian, Thai",2500," UB City, Bangalore",4.4,12.97159058,77.59615391
Sultans Of Spice,"North Indian, Mughlai, Chinese, Beverages",2000," BluPetal Hotel, Koramangala, Bangalore",4.4,12.93346821,77.6153136
Three Dots & A Dash,"Bar Food, Italian, North Indian",1500," JP Nagar, Bangalore",4.4,12.91076971,77.59944364
Dhaba - Estd 1986 Delhi,"Mughlai, North Indian, Desserts",2000," Indiranagar, Bangalore",4.4,12.97048071,77.6464279
BYLI - Bet You Love It!,"Continental, Italian, Fast Food, Beverages",800," Kalyan Nagar, Bangalore",4.4,13.02268504,77.63974987
Broadway - The Gourmet Theatre,"Japanese, Sushi, Continental, Asian, North Indian",1800," HSR, Bangalore",4.4,12.9237685,77.65155863
Ranch,"North Indian, Italian, Continental",1500," Mysore Road, Bangalore",4.4,12.90801202,77.38177654
Foxtrot,"Continental, Chinese, North Indian, Mughlai, Biryani",1600," Marathahalli, Bangalore",4.4,12.94962616,77.69908067
Lazy Suzy,"Cafe, Continental, Italian, Pizza, Desserts",1000," Indiranagar, Bangalore",4.4,12.97088192,77.64741194
Farzi Cafe,Modern Indian,1600," UB City, Bangalore",4.4,12.9722631,77.59618032
Ambrosia,"Italian, Mexican, Continental, Desserts, Beverages, Asian, Mediterranean, Juices",1200," Rajarajeshwari Nagar, Bangalore",4.4,12.90494803,77.50928018
Go Native,"Healthy Food, Modern Indian, Desserts, Mithai",800," Jayanagar, Bangalore",4.4,12.92263064,77.58479577
BLR Brewing Co.,"Finger Food, North Indian, Continental, Mughlai, Chinese, Desserts, Beverages",1500," Electronic City, Bangalore",4.4,12.84031538,77.6533977
Meghana Foods,"Andhra, North Indian, Seafood, Beverages",700," Jayanagar, Bangalore",4.4,12.92639125,77.58480582
The Biere Club,"Finger Food, Continental, Fast Food, North Indian, Italian, Beverages",1500," Lavelle Road, Bangalore",4.4,12.97096818,77.59754632
"Lush - Renaissance Hotel, Bengaluru","North Indian, Continental",2500," Renaissance Hotel, Race Course Road, Bangalore",4.4,12.98469401,77.57637195
Harima,"Japanese, Sushi",2000," Residency Road, Bangalore",4.4,12.96759933,77.60004245
Zoey's,"Cafe, Italian, Burger, Fast Food, Desserts, Continental",600," Sarjapur Road, Bangalore",4.4,12.897472,77.717611
Delhi Highway,"Modern Indian, North Indian, Mughlai",1500," Indiranagar, Bangalore",4.4,12.97006446,77.63948902
Rural Blues,"North Indian, Asian, Finger Food, Continental, Italian, Bar Food",1000," Sarjapur Road, Bangalore",4.4,12.89772024,77.71725062
Kazé,"Japanese, Sushi, Thai, Asian",3000," Lavelle Road, Bangalore",4.4,12.96554291,77.59650193
Sagar Hotel,"North Indian, Chinese, Street Food",500," Rajajinagar, Bangalore",4.4,12.99660238,77.55426016
Murphy's Brewhouse - The Paul Bangalore,"Continental, Mexican, Italian, Beverages, North Indian, Desserts, Bar Food",1700," The Paul Bangalore, Domlur, Bangalore",4.4,12.95391895,77.63971299
153 Biere Street,"Asian, Continental, North Indian, Malaysian, Italian",1700," Whitefield, Bangalore",4.4,12.96287581,77.75073767
Oh! Calcutta,"Bengali, Seafood, North Indian",1800," Church Street, Bangalore",4.4,12.97520669,77.60347266
Gilly's Restobar,"Continental, Italian, Chinese, Fast Food, North Indian",1450," New BEL Road, Bangalore",4.4,13.0271497,77.57185712
Le Arabia,"North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts",800," Basaveshwara Nagar, Bangalore",4.4,12.99862979,77.5423716
Royal Andhra Spice,"Andhra, North Indian, Continental, Chinese, Beverages, Desserts",800," OSR Hotel, Rajarajeshwari Nagar, Bangalore",4.4,12.9056987,77.52108358
The Punjabi Rasoi,"Mughlai, North Indian, Chinese, South Indian, Beverages",500," Whitefield, Bangalore",4.4,12.98796682,77.72998985
Mooch Marod,"North Indian, Beverages",500," Whitefield, Bangalore",4.4,12.98265929,77.76712429
Dhwani,"Cafe, Continental, Asian, Italian, North Indian",800," Koramangala 5th Block, Bangalore",4.4,12.93405379,77.61569481
Gramin,"North Indian, Healthy Food, Beverages",600," Koramangala 7th Block, Bangalore",4.4,12.93461485,77.61328083
The Creek - The Den Bengaluru,"North Indian, South Indian, Asian, Beverages, European",2400," The Den, Whitefield, Bangalore",4.4,12.987374,77.73335
Hotel Aditya,"South Indian, Biryani",300," Rajajinagar, Bangalore",4.4,13.00379822,77.54363157
Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,"North Indian, Continental, Fast Food, Asian, Beverages",3000," Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore",4.4,13.01247039,77.5550675
The Higher Taste,"South Indian, North Indian, Biryani, Fast Food, Chinese, Continental, Desserts",800," Rajajinagar, Bangalore",4.4,13.00929425,77.55133632
Rasovara,"Rajasthani, North Indian",1400," UB City, Bangalore",4.4,12.97197153,77.59636916
Shanmukha,"Andhra, Chinese, North Indian, Seafood, Biryani",600," JP Nagar, Bangalore",4.4,12.91783372,77.59258356
Chavadi,"Continental, North Indian, Italian, Mughlai, Beverages",1200," Bannerghatta Road, Bangalore",4.4,12.89221429,77.6025939
Sharief Bhai,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages",600," Koramangala 5th Block, Bangalore",4.4,12.93305289,77.61474296
One For The Road,"North Indian, Fast Food",1300," Whitefield, Bangalore",4.4,13.01078413,77.75982298
You Mee,"Japanese, Chinese, Thai, Beverages, Sushi, Momos",2000," Forum Shantiniketan Mall, Whitefield, Bangalore",4.4,12.9892427,77.7280184
Time Traveller - Sai Vishram,"Continental, North Indian, South Indian, Chinese",1100," Bommasandra, Bangalore",4.4,12.82667909,77.68089227
Memories of China - Taj MG Road Bengaluru,"Seafood, Chinese",3000," Taj, MG Road, Bangalore",4.4,12.97314348,77.62000144
Asha Tiffins,"South Indian, North Indian, Chinese, Beverages, Desserts",200," HSR, Bangalore",4.4,12.91177723,77.63240565
Mudpipe Cafe,"Cafe, Continental, Burger, Fast Food, Beverages",700," BTM, Bangalore",4.4,12.93432664,77.60959413
Cubbon Pavilion - ITC Gardenia,"European, Continental, Chinese, Thai",2500," ITC Gardenia, Bangalore",4.4,12.96694359,77.59507231
The Blue Wagon - Kitchen,"Street Food, Fast Food, Beverages",400," Jayanagar, Bangalore",4.4,12.92729348,77.58523867
La Casa Brewery And Kitchen,"Continental, North Indian, Fast Food, Thai, Finger Food",1500," Sarjapur Road, Bangalore",4.4,12.90412774,77.67593555
Melange - Radisson Blu,"North Indian, Continental, Italian, Beverages",2600," Radisson Blu, Marathahalli, Bangalore",4.4,12.9498954,77.69927882
Little Italy,"Italian, Pizza",1600," Indiranagar, Bangalore",4.4,12.96632314,77.6415436
Portland Steakhouse & Cafe,"Continental, Fast Food, Cafe, Beverages",1800," MG Road, Bangalore",4.4,12.97025821,77.61481907
Blue Ginger - The Taj West End,"Vietnamese, Seafood, Beverages",3200," The Taj West End, Race Course Road, Bangalore",4.4,12.98411117,77.58396763
Poonam Sweets,Mithai,250," Banashankari, Bangalore",4.4,12.92493217,77.56572761
Float,"North Indian, Japanese",1500," D and N Enterprises, Marathahalli, Bangalore",4.4,12.93868341,77.69494738
Royal Afghan - ITC Windsor,"North Indian, Afghan",6000," ITC Windsor, Bangalore",4.4,28.64607661,77.34839626
Cafe Medley,"Cafe, Continental, Italian, Burger, Pizza, Street Food, Desserts, Beverages",800," Koramangala 5th Block, Bangalore",4.4,12.93374597,77.61966113
Rara Avis,"Kerala, Middle Eastern, North Indian, Chinese",1100," Sahakara Nagar, Bangalore",4.4,13.06264326,77.59249136
Kota Kachori,"North Indian, Street Food, Mithai",200," Koramangala 6th Block, Bangalore",4.4,12.9361487,77.62540944
ASEAN - On The Edge,"Asian, Thai, Vietnamese",1800," Barton Centre, Bangalore",4.4,12.97538737,77.60499951
Leon Grill,"Burger, Fast Food, Wraps, Beverages, Desserts",600," HSR, Bangalore",4.4,12.91180959,77.64383823
Hotel Nalapaka,South Indian,400," Rajajinagar, Bangalore",4.4,12.99841973,77.55220156
Singapore Street,"Singaporean, Thai, Sushi, Asian, Korean, Indonesian",1200," Kammanahalli, Bangalore",4.4,13.02222054,77.63740126
Kapoor's Cafe,"North Indian, Beverages, Desserts",700," Whitefield, Bangalore",4.4,12.95603003,77.72001263
Raghavendra Tiffin,South Indian,150," HSR, Bangalore",4.4,12.9127743,77.63537619
Galito's,"African, Burger, Fast Food, Beverages, Desserts",1000," Whitefield, Bangalore",4.4,12.97670729,77.72552993
Green Onion,"Chinese, Seafood",600," Residency Road, Bangalore",4.4,12.97343033,77.60934602
Infinitea Tea Room & Tea Store,"Italian, European, Healthy Food, Seafood, Desserts, Tea",1300," Cunningham Road, Bangalore",4.4,12.98723444,77.59493887
"3B's - Buddies, Bar & Barbecues","North Indian, BBQ",1200," Marathahalli, Bangalore",4.4,12.9498111,77.69928485
Krazzy Folds,"Cafe, Continental, Italian, Beverages, Finger Food",800," Jayanagar, Bangalore",4.4,12.92554456,77.58385833
Esplanade,"Bengali, Mughlai, Seafood",1000," Indiranagar, Bangalore",4.4,12.97874369,77.63675988
OPUS Club,"Continental, Italian, North Indian, Mexican",1900," OPUS, Sarjapur Road, Bangalore",4.4,12.91497592,77.6661237
Nakkshatra,"North Indian, Chinese, Fast Food",900," Marathahalli, Bangalore",4.4,12.94836817,77.69886609
Shake It Off,"Beverages, Fast Food",400," Jayanagar, Bangalore",4.4,12.92002746,77.58946717
Anand Sweets And Savouries,"Mithai, Street Food, Beverages",300," Koramangala 5th Block, Bangalore",4.4,12.93714043,77.61955149
Punjab Bistro,"North Indian, Mughlai, Seafood",1900," Koramangala 7th Block, Bangalore",4.4,12.93445212,77.61273164
Shizusan,"Japanese, Chinese, Asian, Thai, Beverages",1800," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.4,12.99783235,77.69651916
Sigree Global Grill,"North Indian, Biryani",1400," Kalyan Nagar, Bangalore",4.4,13.02542336,77.63951752
Gods Own Cafe,"South Indian, Kerala, Seafood",300," Koramangala 7th Block, Bangalore",4.4,12.93712083,77.61437315
The Restaurant - Coorg,South Indian,1600," Indiranagar, Bangalore",4.4,12.97900114,77.64166094
IceBreakers,"Desserts, Ice Cream, Beverages",300," Koramangala 6th Block, Bangalore",4.4,12.93755608,77.61916794
Thai Chy,"Asian, Thai, Indonesian, Chinese, Malaysian, Beverages",1300," Indiranagar, Bangalore",4.4,12.97796481,77.63669617
Sea Rock,"Mangalorean, Mughlai, South Indian, Chinese",1000," Seshadripuram, Bangalore",4.4,12.98658855,77.57957485
Kurtoskalacs,"Desserts, Beverages, Fast Food",500," Koramangala 5th Block, Bangalore",4.4,12.93451159,77.61686426
Waffle Walle,"Desserts, Ice Cream, Beverages",500," Royal Meenakshi Mall, Bannerghatta Road, Bangalore",4.4,12.87617684,77.59534489
XO Belgian Waffle,"Desserts, Beverages, Fast Food",400," Koramangala 5th Block, Bangalore",4.4,12.93433808,77.61609849
Biryani Kitchen,Biryani,450," Whitefield, Bangalore",4.4,12.989372,77.717098
URU Brewpark,"Italian, North Indian, Continental, Chinese, Asian, Desserts, Beverages",1500," JP Nagar, Bangalore",4.3,12.90611832,77.60138724
